BBBAABBBB,BBBAAAABBBB
ABABBAA,AABAABBAAAA
BBBBBBBA,BBBBBBBAA
BBABABABA,BBAABAABAABAA
BABA,BAABAA
BBBABA,BBBAABAA
A,AA
ABAAB,AABAAAAB
ABBAA,AABBAAAA
AAAA,AAAAAAAA
BB,BB
AAA,AAAAAA
ABABABA,AABAABAABAA
BA,BAA
BBBB,BBBB
BAAAABA,BAAAAAAAABAA
AB,AAB
ABBABAB,AABBAABAAB
ABB,AABB
ABBA,AABBAA
AAABBBAA,AAAAAABBBAAAA
AA,AAAA
BBB,BBB
BAB,BAAB
AB,AAB
AAABA,AAAAAABAA
AABBABB,AAAABBAABB
ABABAA,AABAABAAAA
ABBBAAB,AABBBAAAAB
A,AA
BBABBB,BBAABBB
BAABBBAAB,BAAAABBBAAAAB
AABBAABBB,AAAABBAAAABBB
ABBABBAAB,AABBAABBAAAAB
BBBBBAA,BBBBBAAAA
AAB,AAAAB
BABBAB,BAABBAAB
BA,BAA
A,AA
A,AA
BBBBA,BBBBAA
BABBBABBB,BAABBBAABBB
BABABB,BAABAABB
B,B
ABBBABAAA,AABBBAABAAAAAA
ABBABAB,AABBAABAAB
ABBA,AABBAA
ABBBA,AABBBAA
A,AA
ABBA,AABBAA
B,B
ABBBBAABA,AABBBBAAAABAA
BBA,BBAA
ABBBAAAA,AABBBAAAAAAAA
AAA,AAAAAA
ABABAAA,AABAABAAAAAA
BABAABA,BAABAAAABAA
AB,AAB
ABAABBAA,AABAAAABBAAAA
AAAABA,AAAAAAAABAA
AAAAB,AAAAAAAAB
BBABBAAA,BBAABBAAAAAA
ABBBAB,AABBBAAB
BBBA,BBBAA
AABB,AAAABB
AAAAABA,AAAAAAAAAABAA
AAB,AAAAB
B,B
BB,BB
AAB,AAAAB
A,AA
ABBBAA,AABBBAAAA
BBABABABA,BBAABAABAABAA
ABABAABA,AABAABAAAABAA
BBBA,BBBAA
BAAA,BAAAAAA
BA,BAA
BABABAB,BAABAABAAB
BBABBA,BBAABBAA
ABBB,AABBB
AABBA,AAAABBAA
AAABBA,AAAAAABBAA
BBAAB,BBAAAAB
BBBABA,BBBAABAA
AABABA,AAAABAABAA
ABA,AABAA
BAABBABAB,BAAAABBAABAAB
AB,AAB
BA,BAA
BBAABABAB,BBAAAABAABAAB
ABAA,AABAAAA
BBAAAB,BBAAAAAAB
BBBBABBBA,BBBBAABBBAA
AABABABB,AAAABAABAABB
AABBBB,AAAABBBB
BABABABB,BAABAABAABB
B,B
BA,BAA
ABAB,AABAAB
B,B
AB,AAB
ABABB,AABAABB
AABAA,AAAABAAAA
BAAAAAAAA,BAAAAAAAAAAAAAAAA
AABBAAA,AAAABBAAAAAA
A,AA
BBBBBBBAB,BBBBBBBAAB
BAAAAABBA,BAAAAAAAAAABBAA
BAA,BAAAA
ABABBBB,AABAABBBB
ABBBBABB,AABBBBAABB
BABB,BAABB
BABAA,BAABAAAA
B,B
ABABBBAB,AABAABBBAAB
BA,BAA
AABAABB,AAAABAAAABB
ABAABABB,AABAAAABAABB
ABBABA,AABBAABAA
BB,BB
BBBBBBAAA,BBBBBBAAAAAA
AABA,AAAABAA
ABAA,AABAAAA
B,B
ABB,AABB
AABAAAB,AAAABAAAAAAB
BBBBBBAAA,BBBBBBAAAAAA
BBBA,BBBAA
BAA,BAAAA
BAABB,BAAAABB
ABABBBAA,AABAABBBAAAA
ABAAAAA,AABAAAAAAAAAA
B,B
BBABBBAA,BBAABBBAAAA
BBBB,BBBB
BA,BAA
ABABBA,AABAABBAA
AAABA,AAAAAABAA
A,AA
BAA,BAAAA
BBABAA,BBAABAAAA
BB,BB
BAAABBB,BAAAAAABBB
BB,BB
BABBABA,BAABBAABAA
ABBBBBAB,AABBBBBAAB
B,B
A,AA
AABBABBAA,AAAABBAABBAAAA
AAAAA,AAAAAAAAAA
ABA,AABAA
BBAAAA,BBAAAAAAAA
BAABABBB,BAAAABAABBB
ABABBBBB,AABAABBBBB
ABBABA,AABBAABAA
AABAAB,AAAABAAAAB
BBABBBB,BBAABBBB
BAABABABA,BAAAABAABAABAA
BBBABA,BBBAABAA
A,AA
ABAB,AABAAB
BBABBAB,BBAABBAAB
BBBA,BBBAA
BBA,BBAA
BBBABA,BBBAABAA
BAAABAB,BAAAAAABAAB
AABAABBB,AAAABAAAABBB
BBAAABB,BBAAAAAABB
BAAABB,BAAAAAABB
AA,AAAA
BABAB,BAABAAB
BBBABB,BBBAABB
BBABA,BBAABAA
AABBAA,AAAABBAAAA
B,B
AAABA,AAAAAABAA
B,B
AB,AAB
ABB,AABB
ABBABAA,AABBAABAAAA
BA,BAA
BAABBABA,BAAAABBAABAA
BBB,BBB
BAB,BAAB
ABABAB,AABAABAAB
BA,BAA
AABBAA,AAAABBAAAA
ABABAB,AABAABAAB
AAB,AAAAB
BABBAABBB,BAABBAAAABBB
BABBBAABB,BAABBBAAAABB
BBB,BBB
ABBBAAA,AABBBAAAAAA
AAB,AAAAB
BBBBABA,BBBBAABAA
BAABBB,BAAAABBB
ABBA,AABBAA
ABABABAA,AABAABAABAAAA
BBABBA,BBAABBAA
ABBABBBBA,AABBAABBBBAA
ABBBAAB,AABBBAAAAB
AAB,AAAAB
ABAAB,AABAAAAB
BABA,BAABAA
AAAABABAA,AAAAAAAABAABAAAA
BABBBBA,BAABBBBAA
BAABBABB,BAAAABBAABB
BABABBA,BAABAABBAA
AABBBAAB,AAAABBBAAAAB
ABAB,AABAAB
BAA,BAAAA
ABBBBA,AABBBBAA
AAABAB,AAAAAABAAB
BAAB,BAAAAB
BAAA,BAAAAAA
AABBBABB,AAAABBBAABB
ABBBBBBBA,AABBBBBBBAA
ABABABBB,AABAABAABBB
AABB,AAAABB
ABBB,AABBB
BABABAB,BAABAABAAB
AABABAAAB,AAAABAABAAAAAAB
AB,AAB
ABBBBB,AABBBBB
BBAA,BBAAAA
ABB,AABB
BABAA,BAABAAAA
BB,BB
BABBBA,BAABBBAA
BBBAAABAA,BBBAAAAAABAAAA
ABAAABAAB,AABAAAAAABAAAAB
B,B
BA,BAA
ABBABAAAA,AABBAABAAAAAAAA
BABAABA,BAABAAAABAA
ABAAAABAA,AABAAAAAAAABAAAA
BABBB,BAABBB
BABBAAAA,BAABBAAAAAAAA
BB,BB
BBBAA,BBBAAAA
ABB,AABB
ABAAABB,AABAAAAAABB
B,B
BAABBB,BAAAABBB
A,AA
ABBAAB,AABBAAAAB
AAABBAB,AAAAAABBAAB
ABB,AABB
BBAABA,BBAAAABAA
BAAAA,BAAAAAAAA
A,AA
A,AA
A,AA
BBBA,BBBAA
BABBAAB,BAABBAAAAB
BAB,BAAB
BBBBB,BBBBB
BABAAABBB,BAABAAAAAABBB
BBA,BBAA
ABAB,AABAAB
BAAABA,BAAAAAABAA
A,AA
BAA,BAAAA
BAA,BAAAA
B,B
AABBAA,AAAABBAAAA
A,AA
ABABA,AABAABAA
BBAA,BBAAAA
BAABB,BAAAABB
ABAABB,AABAAAABB
ABB,AABB
A,AA
AA,AAAA
BBABAAB,BBAABAAAAB
ABBAABB,AABBAAAABB
ABABABBAB,AABAABAABBAAB
BBBAAABB,BBBAAAAAABB
AAA,AAAAAA
BAAA,BAAAAAA
BABAB,BAABAAB
ABBBAABA,AABBBAAAABAA
BBABBA,BBAABBAA
AABABA,AAAABAABAA
AABBA,AAAABBAA
A,AA
BBAABBBBA,BBAAAABBBBAA
BBABAABBB,BBAABAAAABBB
BBAABBA,BBAAAABBAA
ABBABA,AABBAABAA
AAAABB,AAAAAAAABB
BB,BB
AAA,AAAAAA
ABAAB,AABAAAAB
BA,BAA
AABAABBBA,AAAABAAAABBBAA
B,B
BABABB,BAABAABB
AAAABBBA,AAAAAAAABBBAA
AAAAB,AAAAAAAAB
BBBBA,BBBBAA
AABBBBAB,AAAABBBBAAB
B,B
AA,AAAA
AABBBBAA,AAAABBBBAAAA
BBBAA,BBBAAAA
BBA,BBAA
AAAA,AAAAAAAA
BBBB,BBBB
BAAABBBA,BAAAAAABBBAA
AB,AAB
ABBB,AABBB
AAAB,AAAAAAB
BBBAB,BBBAAB
ABBBAAABB,AABBBAAAAAABB
AABBBB,AAAABBBB
A,AA
BBBA,BBBAA
B,B
BBBBAB,BBBBAAB
AB,AAB
BAAAB,BAAAAAAB
BBBABBBB,BBBAABBBB
BAABABA,BAAAABAABAA
ABBAB,AABBAAB
AABBABAAB,AAAABBAABAAAAB
BBBBB,BBBBB
AAAAB,AAAAAAAAB
BBBB,BBBB
BBABAAB,BBAABAAAAB
BBA,BBAA
AAABABAAA,AAAAAABAABAAAAAA
AB,AAB
AA,AAAA
BB,BB
A,AA
BAAABBAA,BAAAAAABBAAAA
BBABAB,BBAABAAB
ABABBBAB,AABAABBBAAB
B,B
AA,AAAA
ABABAAAAB,AABAABAAAAAAAAB
BAAA,BAAAAAA
AABA,AAAABAA
BAABBBBBA,BAAAABBBBBAA
BABAABBB,BAABAAAABBB
BAABABA,BAAAABAABAA
ABBBBBB,AABBBBBB
AB,AAB
AAAAAA,AAAAAAAAAAAA
BBA,BBAA
ABABAABAA,AABAABAAAABAAAA
BAABABBBB,BAAAABAABBBB
BAAA,BAAAAAA
AAAABA,AAAAAAAABAA
BAAB,BAAAAB
B,B
AAB,AAAAB
AA,AAAA
BAABBBA,BAAAABBBAA
BA,BAA
AABBABA,AAAABBAABAA
BAAABBAB,BAAAAAABBAAB
ABBABABAA,AABBAABAABAAAA
ABABBB,AABAABBB
BABABABAA,BAABAABAABAAAA
AB,AAB
BBABAABBA,BBAABAAAABBAA
BAABBA,BAAAABBAA
AAABBAB,AAAAAABBAAB
BBBBABA,BBBBAABAA
BAABAA,BAAAABAAAA
BB,BB
AB,AAB
ABBBBB,AABBBBB
ABAAB,AABAAAAB
BAAB,BAAAAB
AB,AAB
BBBAA,BBBAAAA
BAAABBAB,BAAAAAABBAAB
A,AA
AAAB,AAAAAAB
AABBBBBA,AAAABBBBBAA
ABBAAB,AABBAAAAB
BABAA,BAABAAAA
BBAABAB,BBAAAABAAB
BB,BB
ABBBAABB,AABBBAAAABB
BAB,BAAB
BBAABABAB,BBAAAABAABAAB
AAAAAB,AAAAAAAAAAB
AAA,AAAAAA
AAABBA,AAAAAABBAA
BB,BB
ABAAA,AABAAAAAA
BBBBAABBB,BBBBAAAABBB
ABAABAB,AABAAAABAAB
BBAB,BBAAB
BABAABBBB,BAABAAAABBBB
BBA,BBAA
BBABA,BBAABAA
AAB,AAAAB
AB,AAB
ABAABAB,AABAAAABAAB
ABABA,AABAABAA
ABAA,AABAAAA
ABABA,AABAABAA
A,AA
AAA,AAAAAA
AA,AAAA
BABBBB,BAABBBB
BAB,BAAB
BBAA,BBAAAA
ABAA,AABAAAA
BABAAA,BAABAAAAAA
AAABA,AAAAAABAA
BABA,BAABAA
BA,BAA
BAABB,BAAAABB
BBA,BBAA
BBBBAB,BBBBAAB
BAAAA,BAAAAAAAA
AABB,AAAABB
AB,AAB
A,AA
ABBBBAB,AABBBBAAB
BBAAAAABA,BBAAAAAAAAAABAA
BAAAB,BAAAAAAB
A,AA
BABABB,BAABAABB
ABABB,AABAABB
BBABAAABA,BBAABAAAAAABAA
BBABABA,BBAABAABAA
AAB,AAAAB
ABBBBBAB,AABBBBBAAB
ABABBA,AABAABBAA
BAA,BAAAA
BAA,BAAAA
BBB,BBB
ABA,AABAA
ABB,AABB
ABAA,AABAAAA
BABBAAA,BAABBAAAAAA
AA,AAAA
ABBAAA,AABBAAAAAA
B,B
BBA,BBAA
A,AA
BABAAB,BAABAAAAB
AB,AAB
BAABBAAA,BAAAABBAAAAAA
A,AA
AAAB,AAAAAAB
AABBABBB,AAAABBAABBB
B,B
BAB,BAAB
BBA,BBAA
B,B
B,B
BBBB,BBBB
A,AA
BBAB,BBAAB
BAABAA,BAAAABAAAA
A,AA
AAA,AAAAAA
ABBAAB,AABBAAAAB
BBABABBBA,BBAABAABBBAA
AA,AAAA
BAAABAAB,BAAAAAABAAAAB
BBAAAAAA,BBAAAAAAAAAAAA
BB,BB
AAB,AAAAB
ABAABABA,AABAAAABAABAA
BAABAAABA,BAAAABAAAAAABAA
ABBBAAAB,AABBBAAAAAAB
AABBAAB,AAAABBAAAAB
ABAAAAB,AABAAAAAAAAB
BBAABB,BBAAAABB
ABBB,AABBB
A,AA
BAABBB,BAAAABBB
BAABAB,BAAAABAAB
BABAABAA,BAABAAAABAAAA
AAAAAAA,AAAAAAAAAAAAAA
BAAB,BAAAAB
AAAABAB,AAAAAAAABAAB
BBAABBBA,BBAAAABBBAA
BABAABAA,BAABAAAABAAAA
AABABABA,AAAABAABAABAA
B,B
AA,AAAA
AABABBABB,AAAABAABBAABB
BBABB,BBAABB
BAABAABB,BAAAABAAAABB
ABB,AABB
AAAA,AAAAAAAA
ABA,AABAA
AB,AAB
BAAABBBB,BAAAAAABBBB
AAB,AAAAB
BABB,BAABB
AABB,AAAABB
AAABB,AAAAAABB
B,B
BA,BAA
A,AA
ABAABB,AABAAAABB
AABAA,AAAABAAAA
BBABABAA,BBAABAABAAAA
AAABBAA,AAAAAABBAAAA
BBBABA,BBBAABAA
AAA,AAAAAA
ABBAA,AABBAAAA
BA,BAA
AABAAB,AAAABAAAAB
BABBAAABA,BAABBAAAAAABAA
AAAA,AAAAAAAA
ABABBA,AABAABBAA
ABA,AABAA
BBB,BBB
BAB,BAAB
BBAB,BBAAB
BB,BB
BBAABAB,BBAAAABAAB
ABA,AABAA
ABBA,AABBAA
ABBBA,AABBBAA
BABBBB,BAABBBB
BAABABABA,BAAAABAABAABAA
AAB,AAAAB
ABBABAABA,AABBAABAAAABAA
AB,AAB
BBBBA,BBBBAA
AAA,AAAAAA
BBBABAB,BBBAABAAB
BA,BAA
AAA,AAAAAA
BBAABBB,BBAAAABBB
A,AA
AB,AAB
AAB,AAAAB
BABA,BAABAA
BAABABA,BAAAABAABAA
AAAAABBBA,AAAAAAAAAABBBAA
BBBAAAB,BBBAAAAAAB
A,AA
AAA,AAAAAA
BBBAABB,BBBAAAABB
AB,AAB
BBBBABB,BBBBAABB
AABA,AAAABAA
BBBBAABAB,BBBBAAAABAAB
ABA,AABAA
BBAABAABB,BBAAAABAAAABB
BBBBA,BBBBAA
ABBAAAABB,AABBAAAAAAAABB
A,AA
A,AA
AABBA,AAAABBAA
ABAAAAAB,AABAAAAAAAAAAB
ABABBBAA,AABAABBBAAAA
ABAAAB,AABAAAAAAB
BABABA,BAABAABAA
ABABBA,AABAABBAA
B,B
ABAABBAB,AABAAAABBAAB
BBBAABBAA,BBBAAAABBAAAA
AAAABBA,AAAAAAAABBAA
AA,AAAA
BBABBAA,BBAABBAAAA
BABBAA,BAABBAAAA
AAAAABBAA,AAAAAAAAAABBAAAA
AAA,AAAAAA
A,AA
BBAAAB,BBAAAAAAB
AAAABBB,AAAAAAAABBB
BBAABA,BBAAAABAA
AABBAAB,AAAABBAAAAB
AA,AAAA
ABBAA,AABBAAAA
BBBAA,BBBAAAA
BAABBBA,BAAAABBBAA
AABB,AAAABB
BB,BB
BAB,BAAB
AAAAAA,AAAAAAAAAAAA
ABAABBAA,AABAAAABBAAAA
ABBBBA,AABBBBAA
AABAAAAB,AAAABAAAAAAAAB
AAABAABAA,AAAAAABAAAABAAAA
AABAABB,AAAABAAAABB
BBAABABA,BBAAAABAABAA
BABAAA,BAABAAAAAA
ABB,AABB
BBA,BBAA
BBBAB,BBBAAB
ABAAAAAB,AABAAAAAAAAAAB
ABA,AABAA
BBBBB,BBBBB
ABBB,AABBB
BAAB,BAAAAB
BAABBA,BAAAABBAA
ABBBBBBA,AABBBBBBAA
ABBABA,AABBAABAA
BABAAAAAB,BAABAAAAAAAAAAB
AAAAAABBB,AAAAAAAAAAAABBB
BBBBA,BBBBAA
AABBBBABA,AAAABBBBAABAA
ABBA,AABBAA
BBBBAAAB,BBBBAAAAAAB
ABB,AABB
AABB,AAAABB
AAAA,AAAAAAAA
B,B
ABB,AABB
BBBBA,BBBBAA
AABBBBAB,AAAABBBBAAB
ABB,AABB
ABBBA,AABBBAA
BB,BB
BAA,BAAAA
BABAA,BAABAAAA
ABAAABBBB,AABAAAAAABBBB
BBAA,BBAAAA
ABAABAB,AABAAAABAAB
ABAB,AABAAB
BBBBA,BBBBAA
AABAABB,AAAABAAAABB
BABBB,BAABBB
ABABBBBB,AABAABBBBB
AABAABA,AAAABAAAABAA
BAABBAB,BAAAABBAAB
B,B
AB,AAB
ABBBAABAB,AABBBAAAABAAB
BBAAAAA,BBAAAAAAAAAA
BAABA,BAAAABAA
AAAAABBA,AAAAAAAAAABBAA
BBABABBB,BBAABAABBB
ABBAABA,AABBAAAABAA
B,B
ABABAA,AABAABAAAA
BABBAB,BAABBAAB
BBB,BBB
BBBBAABAA,BBBBAAAABAAAA
B,B
BAA,BAAAA
BBAAB,BBAAAAB
BA,BAA
BBABBBBAA,BBAABBBBAAAA
BB,BB
AAABBA,AAAAAABBAA
BABBABA,BAABBAABAA
ABBBAAB,AABBBAAAAB
B,B
ABA,AABAA
BBBB,BBBB
BBABA,BBAABAA
ABBABA,AABBAABAA
B,B
BBABBBBBA,BBAABBBBBAA
ABBAABBBA,AABBAAAABBBAA
AB,AAB
ABAAAB,AABAAAAAAB
ABBAAA,AABBAAAAAA
BBBBBAAB,BBBBBAAAAB
ABBBBABB,AABBBBAABB
BAABB,BAAAABB
AAAAABA,AAAAAAAAAABAA
BBABBBBBA,BBAABBBBBAA
AB,AAB
BAB,BAAB
AABBB,AAAABBB
AAABAAB,AAAAAABAAAAB
ABBB,AABBB
BBB,BBB
BABAAA,BAABAAAAAA
ABBABBAAB,AABBAABBAAAAB
BBBB,BBBB
A,AA
AABABA,AAAABAABAA
BAAABA,BAAAAAABAA
ABBBA,AABBBAA
B,B
BA,BAA
AB,AAB
A,AA
BBB,BBB
ABA,AABAA
AABBAAA,AAAABBAAAAAA
ABB,AABB
BB,BB
ABBAAB,AABBAAAAB
BBBABABA,BBBAABAABAA
BB,BB
B,B
AAB,AAAAB
BBAA,BBAAAA
BBABBBBA,BBAABBBBAA
BAABA,BAAAABAA
BBABBABAA,BBAABBAABAAAA
BBABBAABA,BBAABBAAAABAA
AAAA,AAAAAAAA
BABA,BAABAA
AA,AAAA
AAAABBAB,AAAAAAAABBAAB
BAABBAB,BAAAABBAAB
BBBAAAB,BBBAAAAAAB
BBABA,BBAABAA
BA,BAA
BB,BB
BBABB,BBAABB
A,AA
AABAAAB,AAAABAAAAAAB
ABAABA,AABAAAABAA
BBBA,BBBAA
BB,BB
BB,BB
BABA,BAABAA
AAAAABBBB,AAAAAAAAAABBBB
BBBBB,BBBBB
ABABBBAB,AABAABBBAAB
BABBBBB,BAABBBBB
ABABBAAA,AABAABBAAAAAA
BBAAABBB,BBAAAAAABBB
BBAABABB,BBAAAABAABB
A,AA
BABBBAAA,BAABBBAAAAAA
BAAABB,BAAAAAABB
BAA,BAAAA
BB,BB
BBAAA,BBAAAAAA
BA,BAA
BBBABB,BBBAABB
AB,AAB
AABABABA,AAAABAABAABAA
BBBAB,BBBAAB
AAAABBB,AAAAAAAABBB
AABB,AAAABB
BAAAAABAB,BAAAAAAAAAABAAB
A,AA
B,B
BAABAA,BAAAABAAAA
ABB,AABB
AABB,AAAABB
BBBABB,BBBAABB
B,B
ABB,AABB
BBBB,BBBB
AA,AAAA
ABBBBBB,AABBBBBB
BABAABB,BAABAAAABB
ABBBBABA,AABBBBAABAA
AB,AAB
AA,AAAA
BABA,BAABAA
BABABB,BAABAABB
AB,AAB
AB,AAB
ABAABB,AABAAAABB
A,AA
AA,AAAA
BAAABABBB,BAAAAAABAABBB
BAA,BAAAA
ABA,AABAA
AABBABBB,AAAABBAABBB
B,B
ABAA,AABAAAA
AAB,AAAAB
BABABAA,BAABAABAAAA
ABBAB,AABBAAB
BAABAA,BAAAABAAAA
ABAAB,AABAAAAB
A,AA
ABBB,AABBB
AAB,AAAAB
A,AA
BA,BAA
ABA,AABAA
ABBABBAA,AABBAABBAAAA
AAB,AAAAB
B,B
BBBAABAA,BBBAAAABAAAA
ABBBA,AABBBAA
AABBBBAAB,AAAABBBBAAAAB
ABABABABB,AABAABAABAABB
AAAABAB,AAAAAAAABAAB
AABBBAA,AAAABBBAAAA
B,B
BABBBBB,BAABBBBB
A,AA
AAAAAA,AAAAAAAAAAAA
ABBB,AABBB
AAAAABBA,AAAAAAAAAABBAA
AAABB,AAAAAABB
ABAAB,AABAAAAB
ABAABABAB,AABAAAABAABAAB
AAB,AAAAB
AAAABAAB,AAAAAAAABAAAAB
ABBAAAAA,AABBAAAAAAAAAA
AA,AAAA
BAAABBBB,BAAAAAABBBB
ABBBABB,AABBBAABB
BAABA,BAAAABAA
AAA,AAAAAA
B,B
ABAAAA,AABAAAAAAAA
ABBA,AABBAA
ABBBBBBB,AABBBBBBB
AB,AAB
BBBAABB,BBBAAAABB
BAABBB,BAAAABBB
BBBBAAAA,BBBBAAAAAAAA
BABABABBA,BAABAABAABBAA
BA,BAA
BBBBABBB,BBBBAABBB
ABABBBB,AABAABBBB
A,AA
A,AA
BBBABA,BBBAABAA
AAABAAB,AAAAAABAAAAB
BBAAAA,BBAAAAAAAA
AB,AAB
ABBBAAABB,AABBBAAAAAABB
BBBBB,BBBBB
ABBAAAA,AABBAAAAAAAA
AA,AAAA
ABAB,AABAAB
BBABB,BBAABB
BBBB,BBBB
ABABB,AABAABB
A,AA
ABAABA,AABAAAABAA
BAAA,BAAAAAA
ABABB,AABAABB
AAA,AAAAAA
BBBBBBBBB,BBBBBBBBB
AAAAAABA,AAAAAAAAAAAABAA
BBBBABB,BBBBAABB
B,B
BBAAA,BBAAAAAA
BBBBAB,BBBBAAB
BAA,BAAAA
ABBBBABBA,AABBBBAABBAA
AB,AAB
B,B
BBA,BBAA
BBBBABABA,BBBBAABAABAA
B,B
B,B
BBBBAA,BBBBAAAA
A,AA
ABBAAA,AABBAAAAAA
AAABBABB,AAAAAABBAABB
AABBAAB,AAAABBAAAAB
ABABBAA,AABAABBAAAA
AA,AAAA
BBBB,BBBB
BB,BB
BAAAAAB,BAAAAAAAAAAB
BA,BAA
BAABBBA,BAAAABBBAA
BABABAB,BAABAABAAB
BAABBBBA,BAAAABBBBAA
BABBBA,BAABBBAA
BAABB,BAAAABB
AAB,AAAAB
BAAAA,BAAAAAAAA
BAAB,BAAAAB
ABABBBA,AABAABBBAA
A,AA
AABBBB,AAAABBBB
BB,BB
AB,AAB
BABBB,BAABBB
A,AA
AABBA,AAAABBAA
AABBBAA,AAAABBBAAAA
B,B
AB,AAB
BAAABB,BAAAAAABB
BABAAB,BAABAAAAB
AABB,AAAABB
BABAB,BAABAAB
BAABBBBAB,BAAAABBBBAAB
BAABA,BAAAABAA
BBBBABA,BBBBAABAA
AAAABAA,AAAAAAAABAAAA
AAA,AAAAAA
BAAB,BAAAAB
BBBAAA,BBBAAAAAA
BBAABB,BBAAAABB
AA,AAAA
ABABBAAAA,AABAABBAAAAAAAA
BAAABB,BAAAAAABB
AAABAABB,AAAAAABAAAABB
ABBABABBB,AABBAABAABBB
AABBB,AAAABBB
BABAAABB,BAABAAAAAABB
BABABAB,BAABAABAAB
ABABBBAAB,AABAABBBAAAAB
AABAABA,AAAABAAAABAA
BABB,BAABB
AAAA,AAAAAAAA
BB,BB
BBBABA,BBBAABAA
BBAB,BBAAB
ABBA,AABBAA
BBA,BBAA
BA,BAA
ABB,AABB
BBA,BBAA
AAB,AAAAB
BBABB,BBAABB
BA,BAA
AABABAAA,AAAABAABAAAAAA
ABAAAA,AABAAAAAAAA
AA,AAAA
ABAAABBB,AABAAAAAABBB
BBB,BBB
BA,BAA
BAAAABB,BAAAAAAAABB
A,AA
ABBAA,AABBAAAA
ABA,AABAA
ABAAABBAA,AABAAAAAABBAAAA
B,B
AB,AAB
BBABABA,BBAABAABAA
AA,AAAA
BAABBA,BAAAABBAA
AAAA,AAAAAAAA
A,AA
BAAAAAAA,BAAAAAAAAAAAAAA
BBBBBAA,BBBBBAAAA
AAABAB,AAAAAABAAB
B,B
BAABABBBB,BAAAABAABBBB
BABBB,BAABBB
ABABBB,AABAABBB
B,B
BABB,BAABB
B,B
AABBAB,AAAABBAAB
BAAAABBBB,BAAAAAAAABBBB
ABABBABB,AABAABBAABB
AABAAABA,AAAABAAAAAABAA
ABBBA,AABBBAA
B,B
BBB,BBB
B,B
AA,AAAA
BA,BAA
AABBABBBB,AAAABBAABBBB
BBABAAA,BBAABAAAAAA
AAAB,AAAAAAB
ABAABBBA,AABAAAABBBAA
ABBBABA,AABBBAABAA
AABAB,AAAABAAB
AABA,AAAABAA
BBBA,BBBAA
BBABAA,BBAABAAAA
BABBABBA,BAABBAABBAA
AABAAAB,AAAABAAAAAAB
AABBAB,AAAABBAAB
BAAAABABB,BAAAAAAAABAABB
AABABAA,AAAABAABAAAA
BBAAA,BBAAAAAA
BBAAAAB,BBAAAAAAAAB
BBBABBBA,BBBAABBBAA
BBAAAAB,BBAAAAAAAAB
ABAABAAA,AABAAAABAAAAAA
BBBAABAA,BBBAAAABAAAA
BBBBABAAA,BBBBAABAAAAAA
BA,BAA
BBABBBAB,BBAABBBAAB
AB,AAB
BBAABAB,BBAAAABAAB
BBABA,BBAABAA
BBB,BBB
BAABBABBB,BAAAABBAABBB
B,B
ABBABAA,AABBAABAAAA
BB,BB
ABBBAAA,AABBBAAAAAA
BAB,BAAB
AAAAABAB,AAAAAAAAAABAAB
AABABABAB,AAAABAABAABAAB
ABBBB,AABBBB
A,AA
A,AA
A,AA
ABABBB,AABAABBB
BBAB,BBAAB
ABAB,AABAAB
ABBA,AABBAA
ABBAA,AABBAAAA
A,AA
ABBABBA,AABBAABBAA
AABAAABAB,AAAABAAAAAABAAB
AAB,AAAAB
BA,BAA
AABBB,AAAABBB
ABBBABBBA,AABBBAABBBAA
AABABABB,AAAABAABAABB
BBBAABAAA,BBBAAAABAAAAAA
AAAB,AAAAAAB
AABAB,AAAABAAB
AB,AAB
ABB,AABB
AAAABABA,AAAAAAAABAABAA
BBBBA,BBBBAA
BBA,BBAA
BBAAAA,BBAAAAAAAA
BBABA,BBAABAA
BAB,BAAB
BAABBBBAB,BAAAABBBBAAB
BAB,BAAB
ABAABB,AABAAAABB
A,AA
A,AA
AAAABBAAB,AAAAAAAABBAAAAB
BBAABA,BBAAAABAA
BBAAAAA,BBAAAAAAAAAA
BBAAAABA,BBAAAAAAAABAA
AA,AAAA
BBAB,BBAAB
AAAAB,AAAAAAAAB
BAB,BAAB
B,B
ABAAABBBB,AABAAAAAABBBB
AABAB,AAAABAAB
BAAA,BAAAAAA
B,B
AABAA,AAAABAAAA
A,AA
BBA,BBAA
BABBA,BAABBAA
AAAABAB,AAAAAAAABAAB
B,B
BAABBBAB,BAAAABBBAAB
AA,AAAA
AABB,AAAABB
ABBBABBBB,AABBBAABBBB
BBAB,BBAAB
B,B
ABBBAAAA,AABBBAAAAAAAA
BBABBAABA,BBAABBAAAABAA
ABBBAAB,AABBBAAAAB
BAAABBAA,BAAAAAABBAAAA
BABBBBAB,BAABBBBAAB
ABAB,AABAAB
BBAAAAA,BBAAAAAAAAAA
BAABABBAA,BAAAABAABBAAAA
BABABBBA,BAABAABBBAA
BBBABB,BBBAABB
AAAABAA,AAAAAAAABAAAA
BB,BB
BABBB,BAABBB
AAAAABBBB,AAAAAAAAAABBBB
AABBBBBAA,AAAABBBBBAAAA
A,AA
AABAAAAB,AAAABAAAAAAAAB
AA,AAAA
BB,BB
ABAA,AABAAAA
AA,AAAA
BABBAB,BAABBAAB
B,B
ABAABAAAB,AABAAAABAAAAAAB
AAABBA,AAAAAABBAA
BA,BAA
BBBABBAAA,BBBAABBAAAAAA
BBA,BBAA
BBAABB,BBAAAABB
